Title,year,Genre,Lead Cast,Director,Positive out of 10 Representation,Focus Area,Box Office Revenue (in M),community,Label
golden horizon,17-05-1986,drama,john davis olivia garcia,michael carter,8.84,disability,387.53,american,golden horizon _american
forgotten voyage,18-09-1996,documentary,john hernandez noah jones,steven miller,5.52,gender,288.52,american,forgotten voyage _american
final hour,22-04-2021,thriller,william johnson sophia johnson,daniel ford,9.76,cultural,415.6,european,final hour _european
shadows rising,26-12-2013,scifi,mia jones john martinez,michael carter,5.53,disability,348.75,american,shadows rising _american
legends   fallen,04-10-2022,scifi,john johnson sophia martinez,emily adams,6.22,cultural,327.96,european,legends   fallen _european
secrets   valley,24-09-2019,action,john hernandez olivia smith,catherine hayes,9.56,disability,379.27,Asian,secrets   valley _Asian
secrets   valley,17-11-1998,drama,william williams liam martinez,laura scott,6.82,cultural,220.79,Asian,secrets   valley _Asian
legends   fallen,24-08-1982,drama,liam jones john miller,daniel ford,6.84,age,186.15,european,legends   fallen _european
lost   stars,06-07-2016,comedy,noah johnson william davis,emily adams,9.53,age,84.27,european,lost   stars _european
forgotten voyage,19-06-1994,thriller,emma davis emma davis,michael carter,9.67,disability,252.89,american,forgotten voyage _american
echoes  eternity,22-12-2004,documentary,john johnson james martinez,steven miller,6.53,cultural,216.75,american,echoes  eternity _american
breaking chains,03-01-2013,fantasy,mia smith liam miller,daniel ford,6.08,disability,95.53,european,breaking chains _european
forgotten voyage,26-06-1982,action,james williams john brown,steven miller,5.39,race,474.2,american,forgotten voyage _american
forgotten voyage,28-12-1988,scifi,james hernandez noah hernandez,catherine hayes,8.05,lgbtq,134.8,Asian,forgotten voyage _Asian
echoes  eternity,01-05-2006,scifi,isabella johnson noah garcia,daniel ford,6.61,cultural,450.55,european,echoes  eternity _european
shadows rising,09-08-1995,thriller,sophia jones emma martinez,daniel ford,5.59,race,100.87,european,shadows rising _european
legends   fallen,21-10-2003,comedy,isabella garcia sophia williams,emily adams,5.25,cultural,265.55,european,legends   fallen _european
echoes  eternity,07-05-1987,drama,isabella davis emma miller,michael carter,5.85,race,447.97,american,echoes  eternity _american
forgotten voyage,09-04-1981,drama,james brown james jones,daniel ford,5.95,age,57.61,european,forgotten voyage _european
echoes  eternity,07-02-1989,action,mia hernandez noah davis,catherine hayes,9.46,age,11.7,Asian,echoes  eternity _Asian
legends   fallen,04-11-2020,action,isabella martinez isabella martinez,daniel ford,7.25,cultural,427.22,european,legends   fallen _european
golden horizon,03-02-1983,documentary,sophia jones william martinez,steven miller,6.49,cultural,440.91,american,golden horizon _american
breaking chains,02-12-1984,drama,emma jones noah hernandez,steven miller,9.96,lgbtq,423.09,american,breaking chains _american
golden horizon,18-11-1999,documentary,liam williams sophia jones,steven miller,7.59,disability,260.44,american,golden horizon _american
golden horizon,03-03-1995,comedy,john miller olivia davis,catherine hayes,9.61,gender,95.02,Asian,golden horizon _Asian
legends   fallen,07-07-1984,comedy,isabella williams liam williams,daniel ford,7.98,cultural,373.66,european,legends   fallen _european
breaking chains,17-12-2000,documentary,william davis sophia miller,catherine hayes,7.97,race,499.78,Asian,breaking chains _Asian
final hour,12-02-2017,drama,william williams liam williams,daniel ford,9.13,age,74.15,european,final hour _european
secrets   valley,07-10-1990,action,olivia brown emma miller,laura scott,5.52,age,367.41,Asian,secrets   valley _Asian
shadows rising,09-02-2007,scifi,olivia williams sophia martinez,daniel ford,7.49,disability,416.82,european,shadows rising _european
lost   stars,22-08-2015,drama,olivia garcia mia martinez,emily adams,7.76,lgbtq,207.95,european,lost   stars _european
whispers   wind,09-01-1987,action,mia jones emma johnson,michael carter,8.53,cultural,344.8,american,whispers   wind _american
golden horizon,23-10-1980,scifi,noah miller emma garcia,daniel ford,5.14,lgbtq,20.54,european,golden horizon _european
golden horizon,10-05-2019,drama,james hernandez olivia williams,catherine hayes,5.94,cultural,343.7,Asian,golden horizon _Asian
whispers   wind,10-02-1983,comedy,sophia brown william johnson,steven miller,6.43,age,20.36,american,whispers   wind _american
whispers   wind,10-12-2023,thriller,mia hernandez liam martinez,emily adams,8.42,lgbtq,357.15,european,whispers   wind _european
breaking chains,09-01-1986,comedy,isabella johnson noah jones,steven miller,6.72,disability,233.19,american,breaking chains _american
golden horizon,07-12-2010,fantasy,william johnson olivia jones,michael carter,8.31,lgbtq,436.97,american,golden horizon _american
lost   stars,10-09-2005,fantasy,sophia martinez isabella miller,steven miller,8.93,age,390,american,lost   stars _american
final hour,04-02-1992,scifi,william garcia william miller,steven miller,7.12,gender,148.64,american,final hour _american
forgotten voyage,23-08-1998,drama,emma miller liam garcia,daniel ford,5.38,race,128.99,european,forgotten voyage _european
forgotten voyage,06-09-2020,thriller,sophia brown mia miller,michael carter,5.31,race,472.18,american,forgotten voyage _american
breaking chains,12-01-1993,documentary,mia brown isabella williams,steven miller,8.1,age,315.91,american,breaking chains _american
breaking chains,10-01-2003,fantasy,olivia miller emma miller,emily adams,6.26,gender,89.84,european,breaking chains _european
shadows rising,24-06-2002,documentary,mia hernandez sophia williams,emily adams,5.63,gender,293.67,european,shadows rising _european
final hour,28-02-2007,comedy,james williams mia hernandez,daniel ford,7.32,cultural,407.34,european,final hour _european
echoes  eternity,07-07-1991,thriller,noah smith john garcia,steven miller,9.41,gender,188.03,american,echoes  eternity _american
breaking chains,09-04-1982,action,liam davis noah hernandez,michael carter,8.75,lgbtq,339.74,american,breaking chains _american
secrets   valley,12-10-2003,thriller,isabella garcia emma williams,catherine hayes,9.07,disability,254.3,Asian,secrets   valley _Asian
golden horizon,28-04-2011,documentary,john jones james martinez,steven miller,8.81,lgbtq,44.9,american,golden horizon _american
legends   fallen,04-06-2023,drama,john brown john johnson,emily adams,9.03,age,459.63,european,legends   fallen _european
whispers   wind,08-11-2021,scifi,isabella miller james brown,daniel ford,7.3,disability,383.13,european,whispers   wind _european
golden horizon,21-11-1991,drama,william davis emma davis,laura scott,6.03,cultural,289.17,Asian,golden horizon _Asian
lost   stars,17-07-1989,scifi,mia hernandez liam johnson,daniel ford,6.3,disability,271.51,european,lost   stars _european
whispers   wind,01-05-2008,documentary,james smith james davis,emily adams,7.44,race,288.64,european,whispers   wind _european
echoes  eternity,25-06-2011,action,james johnson noah jones,steven miller,6.84,disability,318.44,american,echoes  eternity _american
lost   stars,21-01-1989,drama,james hernandez olivia williams,daniel ford,6.21,lgbtq,460.51,european,lost   stars _european
golden horizon,25-11-1994,documentary,noah smith olivia davis,emily adams,6.98,gender,416.44,european,golden horizon _european
lost   stars,21-11-1984,action,noah brown liam hernandez,steven miller,6.48,lgbtq,400.32,american,lost   stars _american
shadows rising,28-05-2020,scifi,isabella miller sophia williams,daniel ford,8.18,age,246.15,european,shadows rising _european
golden horizon,09-12-2000,thriller,william johnson liam miller,steven miller,8.51,disability,123.06,american,golden horizon _american
golden horizon,05-02-1988,drama,olivia jones mia brown,emily adams,8.99,race,196.36,european,golden horizon _european
forgotten voyage,22-08-2021,drama,james brown sophia johnson,steven miller,9.53,age,334.89,american,forgotten voyage _american
secrets   valley,14-10-1995,fantasy,olivia jones william hernandez,emily adams,9.55,race,329.4,european,secrets   valley _european
secrets   valley,25-01-2005,fantasy,sophia johnson liam brown,michael carter,8.31,race,98.6,american,secrets   valley _american
golden horizon,25-08-2005,comedy,william williams isabella brown,daniel ford,9.46,disability,226.88,european,golden horizon _european
secrets   valley,18-01-2021,drama,olivia martinez isabella johnson,daniel ford,7.05,race,347.82,european,secrets   valley _european
shadows rising,27-01-2005,documentary,liam brown william smith,laura scott,5.67,race,315.5,Asian,shadows rising _Asian
forgotten voyage,17-03-2013,scifi,john garcia william hernandez,michael carter,9.66,race,344.1,american,forgotten voyage _american
forgotten voyage,26-01-1988,comedy,isabella brown olivia williams,daniel ford,8.8,gender,65.61,european,forgotten voyage _european
whispers   wind,14-05-1980,comedy,james martinez mia davis,laura scott,8.99,gender,432.42,Asian,whispers   wind _Asian
forgotten voyage,20-10-1994,drama,sophia davis sophia miller,daniel ford,6.55,age,396.78,european,forgotten voyage _european
shadows rising,18-09-2006,fantasy,noah martinez john davis,laura scott,9.24,lgbtq,482.32,Asian,shadows rising _Asian
legends   fallen,23-01-1983,documentary,sophia williams mia smith,michael carter,7.75,gender,233.75,american,legends   fallen _american
legends   fallen,05-12-2023,scifi,william hernandez isabella brown,michael carter,9.54,race,143.02,american,legends   fallen _american
whispers   wind,06-07-2003,scifi,isabella hernandez olivia davis,daniel ford,6.98,race,26.71,european,whispers   wind _european
forgotten voyage,05-03-1995,documentary,isabella martinez emma davis,emily adams,9.79,disability,476.26,european,forgotten voyage _european
whispers   wind,22-09-1983,action,isabella jones noah miller,catherine hayes,7.51,race,487.13,Asian,whispers   wind _Asian
shadows rising,24-06-1992,fantasy,olivia miller isabella martinez,daniel ford,6.51,age,477.73,european,shadows rising _european
lost   stars,19-09-2015,documentary,emma jones william brown,emily adams,7.49,race,56.67,european,lost   stars _european
whispers   wind,19-07-1982,scifi,emma miller john hernandez,daniel ford,8.86,age,34.01,european,whispers   wind _european
breaking chains,18-08-2023,drama,noah garcia liam jones,laura scott,7.82,race,427.81,Asian,breaking chains _Asian
whispers   wind,09-01-2014,thriller,noah garcia william jones,michael carter,7.28,lgbtq,15.02,american,whispers   wind _american
breaking chains,02-06-2020,thriller,isabella jones sophia johnson,daniel ford,6,age,188.27,european,breaking chains _european
lost   stars,01-03-1984,thriller,olivia hernandez sophia martinez,emily adams,6.27,cultural,364.31,european,lost   stars _european
whispers   wind,12-08-1988,documentary,liam martinez william jones,michael carter,6.43,disability,130.82,american,whispers   wind _american
shadows rising,22-12-2022,action,william jones william williams,emily adams,6.74,cultural,153.24,european,shadows rising _european
whispers   wind,25-07-1982,comedy,emma miller isabella martinez,catherine hayes,7.32,cultural,452.06,Asian,whispers   wind _Asian
final hour,03-03-1997,scifi,olivia martinez liam smith,emily adams,6.77,age,395.66,european,final hour _european
lost   stars,24-09-2000,comedy,liam brown emma brown,daniel ford,8.66,cultural,10.57,european,lost   stars _european
lost   stars,06-03-1980,drama,william hernandez james jones,laura scott,5.88,race,412.15,Asian,lost   stars _Asian
secrets   valley,26-07-1984,thriller,james davis liam jones,catherine hayes,8.64,gender,186.21,Asian,secrets   valley _Asian
final hour,11-11-2004,drama,noah miller mia davis,emily adams,6.72,cultural,379.18,european,final hour _european
final hour,21-08-2005,drama,james smith emma jones,steven miller,8.41,race,393.83,american,final hour _american
shadows rising,21-05-2018,documentary,emma jones sophia smith,laura scott,8.16,lgbtq,170.29,Asian,shadows rising _Asian
breaking chains,09-07-1992,fantasy,emma jones olivia hernandez,catherine hayes,6.6,gender,134.61,Asian,breaking chains _Asian
forgotten voyage,03-07-2013,documentary,james jones sophia williams,michael carter,7.56,disability,143.05,american,forgotten voyage _american
secrets   valley,15-04-1995,documentary,john jones mia martinez,steven miller,6.19,race,58.07,american,secrets   valley _american
golden horizon,25-07-2018,comedy,sophia garcia mia garcia,emily adams,8.96,disability,357.19,european,golden horizon _european
secrets   valley,19-01-1996,drama,john davis mia johnson,catherine hayes,6.62,race,469.65,Asian,secrets   valley _Asian
final hour,01-07-1990,thriller,olivia smith emma smith,steven miller,5.92,disability,52.53,american,final hour _american
echoes  eternity,16-09-1983,thriller,william brown isabella williams,catherine hayes,6.08,cultural,139.7,Asian,echoes  eternity _Asian
breaking chains,19-04-2008,comedy,liam miller emma williams,michael carter,7.69,disability,405.44,american,breaking chains _american
forgotten voyage,19-06-1987,drama,liam jones emma johnson,emily adams,5.12,lgbtq,316.5,european,forgotten voyage _european
forgotten voyage,05-02-2023,comedy,isabella martinez olivia johnson,daniel ford,9.54,gender,403.9,european,forgotten voyage _european
lost   stars,05-02-2016,fantasy,william williams emma williams,michael carter,8.53,lgbtq,301.17,american,lost   stars _american
lost   stars,03-05-1993,fantasy,liam smith liam johnson,daniel ford,5.23,age,187.1,european,lost   stars _european
final hour,14-01-1990,documentary,olivia brown james davis,steven miller,9.09,gender,140.35,american,final hour _american
shadows rising,01-11-2023,drama,john smith sophia williams,michael carter,7.47,gender,428.62,american,shadows rising _american
echoes  eternity,16-06-2015,action,emma smith noah smith,catherine hayes,9.22,age,458.05,Asian,echoes  eternity _Asian
legends   fallen,19-10-2022,drama,noah jones sophia williams,laura scott,9.56,race,189.51,Asian,legends   fallen _Asian
secrets   valley,16-10-1995,comedy,emma johnson isabella williams,catherine hayes,5.71,cultural,43.51,Asian,secrets   valley _Asian
forgotten voyage,26-05-1984,fantasy,liam johnson isabella martinez,daniel ford,7.33,lgbtq,360.16,european,forgotten voyage _european
lost   stars,16-09-2014,comedy,william smith noah martinez,emily adams,6.68,race,365.77,european,lost   stars _european
shadows rising,02-09-2013,documentary,mia garcia william miller,daniel ford,6.78,lgbtq,58.04,european,shadows rising _european
legends   fallen,22-03-2012,scifi,william davis noah smith,michael carter,8.52,cultural,50.71,american,legends   fallen _american
lost   stars,10-04-1982,comedy,james smith james martinez,laura scott,6.89,lgbtq,161.44,Asian,lost   stars _Asian
secrets   valley,21-12-2002,drama,mia smith liam jones,emily adams,5.47,gender,92.51,european,secrets   valley _european
breaking chains,24-11-2003,action,isabella johnson liam garcia,laura scott,9.91,disability,431.15,Asian,breaking chains _Asian
forgotten voyage,25-01-2010,documentary,liam garcia emma hernandez,daniel ford,7.76,cultural,481.66,european,forgotten voyage _european
final hour,15-12-1998,documentary,isabella johnson john brown,michael carter,7.9,age,436.48,american,final hour _american
lost   stars,11-12-1980,thriller,john garcia emma williams,laura scott,7.11,disability,462.42,Asian,lost   stars _Asian
legends   fallen,01-03-2023,comedy,liam johnson noah jones,laura scott,5.4,race,65.48,Asian,legends   fallen _Asian
secrets   valley,02-07-2015,documentary,mia jones sophia johnson,michael carter,5.44,age,475.48,american,secrets   valley _american
breaking chains,22-09-1983,drama,william martinez liam hernandez,catherine hayes,5.02,cultural,320.32,Asian,breaking chains _Asian
whispers   wind,07-03-2015,thriller,mia martinez james williams,laura scott,5.31,age,168.98,Asian,whispers   wind _Asian
legends   fallen,07-08-1994,documentary,olivia miller isabella davis,catherine hayes,9.83,lgbtq,394.28,Asian,legends   fallen _Asian
shadows rising,03-08-2003,thriller,olivia davis noah smith,daniel ford,8.38,age,367.5,european,shadows rising _european
whispers   wind,06-02-2003,drama,sophia davis isabella hernandez,catherine hayes,7.99,cultural,293.15,Asian,whispers   wind _Asian
legends   fallen,15-02-2009,comedy,james miller william jones,laura scott,8.9,disability,27.19,Asian,legends   fallen _Asian
echoes  eternity,01-10-2000,scifi,sophia jones john smith,steven miller,8.12,cultural,44.35,american,echoes  eternity _american
forgotten voyage,02-04-2010,documentary,john martinez isabella smith,catherine hayes,7.9,age,201.98,Asian,forgotten voyage _Asian
whispers   wind,25-10-2009,comedy,james davis john martinez,catherine hayes,9.13,disability,218.06,Asian,whispers   wind _Asian
lost   stars,25-01-1993,action,mia garcia liam garcia,laura scott,5.76,disability,258.61,Asian,lost   stars _Asian
legends   fallen,25-01-2018,comedy,john martinez james davis,laura scott,7.05,race,359.51,Asian,legends   fallen _Asian
forgotten voyage,18-05-2010,scifi,james jones james garcia,steven miller,5.01,lgbtq,275.11,american,forgotten voyage _american
shadows rising,19-10-2020,thriller,mia smith sophia smith,michael carter,5.45,cultural,252.38,american,shadows rising _american
secrets   valley,14-05-1998,drama,john smith emma brown,catherine hayes,9.15,lgbtq,45.06,Asian,secrets   valley _Asian
lost   stars,24-05-2022,thriller,james miller olivia jones,daniel ford,7.93,gender,485.34,european,lost   stars _european
forgotten voyage,02-08-1991,drama,noah johnson james jones,catherine hayes,7.34,lgbtq,318.9,Asian,forgotten voyage _Asian
breaking chains,05-10-1987,comedy,isabella williams james garcia,emily adams,9.94,gender,272.23,european,breaking chains _european
breaking chains,05-04-2022,fantasy,isabella jones james smith,daniel ford,8.81,lgbtq,193.01,european,breaking chains _european
lost   stars,07-09-2001,thriller,olivia garcia james garcia,laura scott,5.17,age,246.06,Asian,lost   stars _Asian
legends   fallen,21-07-1984,drama,noah brown william williams,steven miller,8.67,gender,384.65,american,legends   fallen _american
legends   fallen,20-03-2009,scifi,olivia davis james martinez,laura scott,7.89,race,461.57,Asian,legends   fallen _Asian
legends   fallen,11-11-2014,comedy,isabella garcia liam johnson,emily adams,5.97,cultural,282.25,european,legends   fallen _european
golden horizon,02-11-2003,documentary,james johnson noah martinez,steven miller,8.38,lgbtq,27.86,american,golden horizon _american
lost   stars,01-03-1997,comedy,noah johnson mia hernandez,emily adams,9.22,cultural,93.51,european,lost   stars _european
golden horizon,06-12-1990,documentary,emma hernandez john miller,catherine hayes,6.51,age,302.4,Asian,golden horizon _Asian
whispers   wind,09-08-2004,fantasy,mia martinez olivia martinez,daniel ford,5.8,cultural,330.33,european,whispers   wind _european
lost   stars,22-05-1981,scifi,emma hernandez emma jones,daniel ford,8.57,age,438.89,european,lost   stars _european
secrets   valley,21-05-2002,thriller,emma jones isabella garcia,steven miller,7.84,disability,26.28,american,secrets   valley _american
final hour,05-05-1988,drama,olivia martinez sophia johnson,michael carter,5.9,gender,148.89,american,final hour _american
forgotten voyage,17-09-2002,scifi,john jones mia garcia,catherine hayes,5.83,cultural,219.02,Asian,forgotten voyage _Asian
shadows rising,02-02-2006,comedy,liam martinez olivia davis,daniel ford,9.51,age,94.94,european,shadows rising _european
legends   fallen,08-01-2005,thriller,john garcia isabella jones,emily adams,6.95,disability,228.64,european,legends   fallen _european
shadows rising,03-07-1985,fantasy,john miller noah davis,steven miller,8.86,race,425.11,american,shadows rising _american
forgotten voyage,23-11-1994,scifi,john jones olivia brown,laura scott,6.44,lgbtq,190.68,Asian,forgotten voyage _Asian
shadows rising,26-01-1995,scifi,mia smith olivia martinez,laura scott,5.92,gender,34.5,Asian,shadows rising _Asian
shadows rising,06-08-1983,scifi,noah johnson william smith,catherine hayes,9.68,disability,122.23,Asian,shadows rising _Asian
golden horizon,07-06-2021,fantasy,olivia miller noah brown,catherine hayes,7.81,disability,316.45,Asian,golden horizon _Asian
legends   fallen,12-03-2001,comedy,olivia martinez sophia johnson,catherine hayes,9.88,age,99.34,Asian,legends   fallen _Asian
golden horizon,17-02-1998,fantasy,william brown james martinez,catherine hayes,5.44,race,356.56,Asian,golden horizon _Asian
echoes  eternity,12-11-2005,comedy,olivia johnson emma johnson,catherine hayes,8.09,lgbtq,182.59,Asian,echoes  eternity _Asian
lost   stars,18-07-2004,thriller,mia brown noah martinez,emily adams,9.79,race,470.67,european,lost   stars _european
secrets   valley,19-04-2010,scifi,john davis noah garcia,daniel ford,7.49,race,245.66,european,secrets   valley _european
final hour,27-05-2010,scifi,olivia brown emma jones,steven miller,8.08,disability,332.05,american,final hour _american
legends   fallen,01-11-1981,comedy,isabella martinez isabella jones,emily adams,6.75,gender,287.56,european,legends   fallen _european
whispers   wind,17-03-2000,action,olivia jones james davis,steven miller,7.97,race,157.68,american,whispers   wind _american
lost   stars,11-07-1989,documentary,sophia johnson liam martinez,emily adams,6.53,cultural,214.04,european,lost   stars _european
final hour,03-06-2021,thriller,john brown mia brown,michael carter,8.4,lgbtq,252.53,american,final hour _american
final hour,02-01-2009,thriller,john davis james davis,emily adams,8.16,lgbtq,63.11,european,final hour _european
lost   stars,05-12-1993,documentary,james hernandez olivia hernandez,catherine hayes,8.87,cultural,413.68,Asian,lost   stars _Asian
secrets   valley,10-09-2008,action,john williams sophia davis,steven miller,7.48,race,298.47,american,secrets   valley _american
breaking chains,10-10-1992,drama,james davis olivia davis,laura scott,7.84,gender,318.21,Asian,breaking chains _Asian
final hour,06-04-1986,comedy,liam smith john garcia,steven miller,8.37,gender,17.14,american,final hour _american
golden horizon,07-06-2008,fantasy,liam williams liam johnson,catherine hayes,5.64,disability,151.3,Asian,golden horizon _Asian
echoes  eternity,09-12-2018,thriller,john martinez james garcia,michael carter,9.5,cultural,223.86,american,echoes  eternity _american
lost   stars,08-02-1987,drama,james miller isabella davis,laura scott,8.69,cultural,415.17,Asian,lost   stars _Asian
final hour,22-08-1987,comedy,john miller liam johnson,daniel ford,7.7,disability,62.36,european,final hour _european
breaking chains,06-01-2008,thriller,isabella brown james williams,michael carter,6.75,lgbtq,368.72,american,breaking chains _american
golden horizon,18-05-1996,action,mia hernandez john johnson,emily adams,6.71,cultural,215.58,european,golden horizon _european
final hour,12-02-1991,comedy,william johnson mia smith,catherine hayes,8.57,lgbtq,332.7,Asian,final hour _Asian
legends   fallen,19-02-2004,comedy,sophia hernandez john brown,emily adams,6.17,disability,444.02,european,legends   fallen _european
secrets   valley,21-06-2021,fantasy,olivia williams william martinez,daniel ford,8.77,disability,467.17,european,secrets   valley _european
secrets   valley,08-04-2022,documentary,sophia garcia liam miller,catherine hayes,6.19,cultural,438.49,Asian,secrets   valley _Asian
final hour,06-10-1997,comedy,sophia smith liam miller,daniel ford,7.15,race,181.67,european,final hour _european
legends   fallen,25-06-2020,documentary,noah johnson liam garcia,michael carter,9.65,disability,413.39,american,legends   fallen _american
forgotten voyage,01-01-2023,scifi,james garcia sophia williams,laura scott,7.53,cultural,282.57,Asian,forgotten voyage _Asian
golden horizon,14-08-2019,action,isabella williams emma jones,emily adams,9.06,lgbtq,460.5,european,golden horizon _european
lost   stars,27-08-2011,thriller,john hernandez liam hernandez,michael carter,9.01,lgbtq,136.34,american,lost   stars _american
breaking chains,09-11-1998,scifi,noah hernandez sophia garcia,catherine hayes,7.94,race,358.3,Asian,breaking chains _Asian
echoes  eternity,19-08-1986,scifi,emma smith mia johnson,emily adams,6.18,race,186.74,european,echoes  eternity _european
breaking chains,21-05-2005,documentary,emma martinez william martinez,michael carter,8.09,race,291.74,american,breaking chains _american
breaking chains,23-03-1985,comedy,john johnson sophia williams,catherine hayes,6.3,gender,238.33,Asian,breaking chains _Asian
whispers   wind,12-01-2020,thriller,noah martinez olivia garcia,emily adams,7.84,disability,406.08,european,whispers   wind _european
secrets   valley,09-09-2000,drama,mia martinez emma johnson,michael carter,6.24,disability,370.04,american,secrets   valley _american
lost   stars,26-12-2019,scifi,john hernandez william martinez,daniel ford,6.5,disability,202.35,european,lost   stars _european
forgotten voyage,01-08-1995,fantasy,james williams emma williams,emily adams,7.5,lgbtq,238.85,european,forgotten voyage _european
shadows rising,27-03-1986,scifi,liam hernandez william williams,emily adams,6.83,lgbtq,407.98,european,shadows rising _european
secrets   valley,22-12-2000,documentary,mia davis mia miller,laura scott,7.65,cultural,238.11,Asian,secrets   valley _Asian
secrets   valley,23-03-2002,scifi,john martinez john johnson,catherine hayes,6.52,gender,160.56,Asian,secrets   valley _Asian
forgotten voyage,28-07-1981,fantasy,james martinez james smith,catherine hayes,5.13,lgbtq,368.75,Asian,forgotten voyage _Asian
forgotten voyage,02-11-1996,drama,sophia smith liam davis,emily adams,6.67,gender,82.88,european,forgotten voyage _european
final hour,28-02-1986,documentary,liam jones james miller,laura scott,7.42,disability,474.59,Asian,final hour _Asian
shadows rising,26-01-2011,scifi,olivia williams sophia davis,steven miller,7.19,cultural,248.47,american,shadows rising _american
echoes  eternity,21-11-1988,thriller,emma brown emma smith,daniel ford,5.21,lgbtq,254.7,european,echoes  eternity _european
breaking chains,07-08-1986,fantasy,olivia hernandez noah jones,steven miller,8.66,lgbtq,91.7,american,breaking chains _american
final hour,02-08-2000,thriller,james miller mia johnson,steven miller,5.56,age,351.28,american,final hour _american
whispers   wind,12-09-2004,comedy,emma garcia emma johnson,michael carter,7.71,age,83.58,american,whispers   wind _american
shadows rising,02-11-2007,documentary,isabella hernandez mia jones,michael carter,7.34,age,246.29,american,shadows rising _american
legends   fallen,05-04-1994,documentary,isabella jones isabella williams,emily adams,9.38,gender,157.95,european,legends   fallen _european
shadows rising,20-09-2021,scifi,sophia miller william williams,daniel ford,8.32,lgbtq,228.18,european,shadows rising _european
final hour,22-06-2000,fantasy,emma hernandez james miller,laura scott,7.84,gender,100.21,Asian,final hour _Asian
whispers   wind,28-12-2022,thriller,james garcia sophia davis,catherine hayes,5.62,cultural,258.15,Asian,whispers   wind _Asian
shadows rising,04-06-1990,documentary,john garcia liam johnson,daniel ford,8.14,gender,488.15,european,shadows rising _european
lost   stars,26-04-1990,scifi,james smith liam williams,catherine hayes,8.77,cultural,320.1,Asian,lost   stars _Asian
lost   stars,08-11-2023,scifi,william jones william davis,emily adams,5.11,gender,344.65,european,lost   stars _european
secrets   valley,01-04-1998,documentary,james williams emma miller,laura scott,9.36,lgbtq,227.16,Asian,secrets   valley _Asian
forgotten voyage,04-06-1982,fantasy,olivia miller mia davis,steven miller,8.45,cultural,260.92,american,forgotten voyage _american
secrets   valley,01-04-1999,documentary,noah martinez noah williams,laura scott,7.56,lgbtq,418.33,Asian,secrets   valley _Asian
golden horizon,03-02-1991,thriller,william brown john brown,steven miller,6.58,race,229.74,american,golden horizon _american
lost   stars,27-09-1998,documentary,isabella garcia noah jones,emily adams,9.16,gender,468.32,european,lost   stars _european
secrets   valley,18-06-2019,thriller,mia garcia olivia brown,emily adams,5.6,cultural,209.94,european,secrets   valley _european
golden horizon,21-05-2018,comedy,sophia jones william martinez,steven miller,7.07,cultural,29.96,american,golden horizon _american
lost   stars,03-10-2003,drama,olivia garcia isabella miller,daniel ford,9.24,age,201.81,european,lost   stars _european
final hour,02-08-1999,thriller,john smith isabella hernandez,emily adams,9.52,race,488.32,european,final hour _european
forgotten voyage,20-02-2009,comedy,mia johnson james garcia,daniel ford,5.61,disability,22.74,european,forgotten voyage _european
breaking chains,19-06-1982,drama,mia davis liam johnson,steven miller,5.53,gender,70.97,american,breaking chains _american
echoes  eternity,08-12-1987,comedy,sophia miller sophia davis,emily adams,8.33,cultural,456.51,european,echoes  eternity _european
secrets   valley,12-09-1980,comedy,noah davis john martinez,laura scott,6.11,race,237.79,Asian,secrets   valley _Asian
legends   fallen,23-05-1995,scifi,noah davis isabella brown,daniel ford,8.87,race,100.12,european,legends   fallen _european
whispers   wind,02-01-2021,drama,mia jones liam jones,emily adams,7.42,disability,345.03,european,whispers   wind _european
shadows rising,15-03-2014,scifi,james smith noah hernandez,catherine hayes,8.16,age,469.2,Asian,shadows rising _Asian
echoes  eternity,11-11-1984,drama,olivia davis liam williams,emily adams,9.03,race,224.96,european,echoes  eternity _european
final hour,19-11-1990,documentary,mia garcia isabella smith,michael carter,5.24,lgbtq,228.5,american,final hour _american
shadows rising,11-04-2005,thriller,william brown olivia williams,catherine hayes,5.73,lgbtq,116.87,Asian,shadows rising _Asian
breaking chains,01-12-2020,documentary,john miller isabella garcia,steven miller,6.05,race,372.56,american,breaking chains _american
whispers   wind,25-11-1997,documentary,liam johnson olivia hernandez,steven miller,5,cultural,37.94,american,whispers   wind _american
echoes  eternity,07-02-2021,action,mia miller mia hernandez,daniel ford,5.15,lgbtq,294.41,european,echoes  eternity _european
whispers   wind,01-12-1996,comedy,isabella hernandez john hernandez,catherine hayes,7.94,race,29.99,Asian,whispers   wind _Asian
lost   stars,10-02-2018,drama,sophia miller liam smith,michael carter,8.95,disability,440.49,american,lost   stars _american
legends   fallen,06-10-1991,scifi,isabella miller john williams,laura scott,7.9,lgbtq,276.03,Asian,legends   fallen _Asian
whispers   wind,04-07-1999,documentary,sophia williams emma williams,daniel ford,5.18,disability,404.79,european,whispers   wind _european
secrets   valley,19-08-1995,scifi,sophia garcia william hernandez,catherine hayes,6.44,race,132.58,Asian,secrets   valley _Asian
golden horizon,06-12-2018,thriller,mia davis sophia davis,emily adams,5.13,disability,276.88,european,golden horizon _european
legends   fallen,17-09-1993,fantasy,noah williams mia miller,steven miller,5.01,age,361.21,american,legends   fallen _american
forgotten voyage,18-06-2004,scifi,emma miller william brown,catherine hayes,10,lgbtq,236.5,Asian,forgotten voyage _Asian
shadows rising,03-11-1997,fantasy,emma martinez olivia davis,laura scott,6.02,disability,395.88,Asian,shadows rising _Asian
